Title,Link,Year,Abstract
"I enjoy writing and playing, do you?: a personalized and emotion grounded dialogue agent using generative adversarial network",https://ieeexplore.ieee.org/abstract/document/9722966/,2022,"conversational agent to communicate with its user to assist users in achieving their desired  objectives. Recently, generative  about the speakers to integrate persona in chit-chat models."
"Teaching students about conversational ai using convo, a conversational programming agent",https://ieeexplore.ieee.org/abstract/document/9576290/,2021,"CONVO to train ML models and create conversational apps, we aimed to answer the  following research questions: RQ1: What conversational AI and AI literacy concepts can students"
Towards an online empathetic chatbot with emotion causes,https://dl.acm.org/doi/abs/10.1145/3404835.3463042,2021,"To answer these sub-questions, we develop an Empathetic chatbot based on the user emotion  causes, namely Emma. Based on GPT [24], Emma also consists of multiple blocks of multi"
Compeer: A generative conversational agent for proactive peer support,https://dl.acm.org/doi/abs/10.1145/3654777.3676430,2024,"generative agents to improve people’s mental health. Our contributions are three-fold. First,  we present a novel generative conversational agent  oping proactive conversational agents"
"Conversational AI-Chatbot Architectures and Evaluation: Analyzing architectures and evaluation methods for conversational AI systems, including chatbots, virtual …",https://sydneyacademics.com/index.php/ajmlra/article/view/17,2021,"studies, to assess the quality of conversational AI systems from a user-centric perspective.   comprehensive analysis of chatbot architectures and evaluation methods in conversational AI."
Chatbot-based emotion management for distributed teams: A participatory design study,https://dl.acm.org/doi/abs/10.1145/3415189,2020,"Further, they report emotion regulation and increased  emotion management, we highlight  design implications and discuss chatbot design recommendations for enhancing emotion"
"Supporting self-directed learning and self-assessment using TeacherGAIA, a generative AI chatbot application: Learning approaches and prompt engineering",https://www.tandfonline.com/doi/abs/10.1080/23735082.2023.2258886,2023,"a generative artificial intelligence chatbot application (GAIA),  with ChatGPT, OpenAI’s chatbot  which by default engaged in  social-emotional support, all of which were implemented in a"
Effects of personalization and social role in voice shopping: An experimental study on product recommendation by a conversational voice agent,https://www.sciencedirect.com/science/article/pii/S0747563220301126,2020,"and a friend role of a voice agent with high and low product  to the interaction with a  conversational agent. For practitioners,  design of voice shopping through a conversational agent."
Human versus chatbot: Understanding the role of emotion in health marketing communication for vaccines,https://onlinelibrary.wiley.com/doi/abs/10.1002/mar.21556,2021,the complex emotional dynamics in consumer–chatbot communication. By  of a chatbot may  depend on the emotional contexts. Results revealed that interaction evaluation of the chatbot
Self-chats from large language models make small emotional support chatbot better,https://ink.library.smu.edu.sg/sis_research/9239/,2024,"emotional support conversations with broad coverage, we developed a comprehensive set  of 36 emotional  2003) and insights from previous emotional support research (Reblin and"
